ID,Column Name,Justification
12457,,Null (entire row)
12460,,Null (entire row)
12482,,Null (entire row)
12564,,Null (entire row)
12634,,Null (entire row)
12735,,Null (entire row)
12955,,Null (entire row)
12977,,Null (entire row)
13073,,Null (entire row)
13178,,Null (entire row)
13271,,Null (entire row)
13302,,Null (entire row)
13377,,Null (entire row)
13383,,Null (entire row)
13427,,Null (entire row)
13470,,Null (entire row)
13501,,Null (entire row)
13551,,Null (entire row)
13677,,Null (entire row)
13710,,Null (entire row)
13719,,Null (entire row)
13771,,Null (entire row)
13774,,Null (entire row)
13792,,Null (entire row)
13800,,Null (entire row)
13812,,Null (entire row)
13925,,Null (entire row)
13927,,Null (entire row)
13977,,Null (entire row)
14115,,Null (entire row)
14245,,Null (entire row)
14266,,Null (entire row)
14293,,Null (entire row)
14322,,Null (entire row)
14474,,Null (entire row)
14486,,Null (entire row)
14541,,Null (entire row)
14586,,Null (entire row)
14599,,Null (entire row)
14650,,Null (entire row)
14655,,Null (entire row)
14727,,Null (entire row)
14754,,Null (entire row)
14786,,Null (entire row)
14879,,Null (entire row)
14896,,Null (entire row)
14906,,Null (entire row)
14924,,Null (entire row)
15038,,Null (entire row)
15054,,Null (entire row)
15063,,Null (entire row)
15070,,Null (entire row)
15088,,Null (entire row)
15134,,Null (entire row)
15143,,Null (entire row)
15188,,Null (entire row)
15286,,Null (entire row)
15349,,Null (entire row)
15582,,Null (entire row)
15583,,Null (entire row)
15625,,Null (entire row)
15655,,Null (entire row)
15708,,Null (entire row)
15724,,Null (entire row)
15740,,Null (entire row)
15786,,Null (entire row)
15791,,Null (entire row)
15821,,Null (entire row)
15909,,Null (entire row)
16015,,Null (entire row)
16144,,Null (entire row)
16178,,Null (entire row)
16182,,Null (entire row)
16186,,Null (entire row)
16195,,Null (entire row)
16228,,Null (entire row)
16381,,Null (entire row)
16516,,Null (entire row)
16526,,Null (entire row)
16537,,Null (entire row)
16560,,Null (entire row)
16618,,Null (entire row)
16632,,Null (entire row)
16668,,Null (entire row)
16689,,Null (entire row)
16712,,Null (entire row)
16726,,Null (entire row)
16812,,Null (entire row)
16817,,Null (entire row)
16890,,Null (entire row)
16899,,Null (entire row)
16901,,Null (entire row)
17031,,Null (entire row)
17073,,Null (entire row)
17116,,Null (entire row)
17170,,Null (entire row)
17171,,Null (entire row)
17172,,Null (entire row)
17215,,Null (entire row)
17325,,Null (entire row)
17328,,Null (entire row)
17350,,Null (entire row)
17383,,Null (entire row)
17451,,Null (entire row)
17519,,Null (entire row)
17531,,Null (entire row)
17555,,Null (entire row)
17572,,Null (entire row)
17618,,Null (entire row)
17625,,Null (entire row)
17708,,Null (entire row)
17730,,Null (entire row)
17745,,Null (entire row)
17779,,Null (entire row)
17786,,Null (entire row)
17878,,Null (entire row)
17914,,Null (entire row)
17964,,Null (entire row)
17989,,Null (entire row)
18028,,Null (entire row)
18087,,Null (entire row)
18088,,Null (entire row)
18096,,Null (entire row)
18122,,Null (entire row)
18207,,Null (entire row)
18221,,Null (entire row)
18308,,Null (entire row)
18335,,Null (entire row)
18369,,Null (entire row)
18431,,Null (entire row)
18495,,Null (entire row)
18527,,Null (entire row)
18529,,Null (entire row)
18569,,Null (entire row)
18617,,Null (entire row)
18626,,Null (entire row)
18686,,Null (entire row)
18744,,Null (entire row)
18794,,Null (entire row)
18922,,Null (entire row)
18995,,Null (entire row)
18997,,Null (entire row)
19035,,Null (entire row)
19077,,Null (entire row)
19155,,Null (entire row)
19197,,Null (entire row)
19313,,Null (entire row)
19343,,Null (entire row)
19360,,Null (entire row)
19410,,Null (entire row)
19420,,Null (entire row)
19543,,Null (entire row)
19588,,Null (entire row)
19678,,Null (entire row)
19753,,Null (entire row)
19786,,Null (entire row)
19826,,Null (entire row)
19885,,Null (entire row)
19922,,Null (entire row)
19989,,Null (entire row)
20106,,Null (entire row)
20162,,Null (entire row)
20300,,Null (entire row)
20301,,Null (entire row)
20534,,Null (entire row)
20541,,Null (entire row)
20628,,Null (entire row)
20629,,Null (entire row)
20715,,Null (entire row)
20817,,Null (entire row)
20820,,Null (entire row)
20843,,Null (entire row)
20868,,Null (entire row)
20894,,Null (entire row)
20911,,Null (entire row)
20965,,Null (entire row)
21017,,Null (entire row)
21136,,Null (entire row)
21204,,Null (entire row)
21278,,Null (entire row)
21376,,Null (entire row)
21568,,Null (entire row)
21574,,Null (entire row)
21778,,Null (entire row)
21843,,Null (entire row)
21848,,Null (entire row)
21887,,Null (entire row)
21895,,Null (entire row)
21953,,Null (entire row)
21966,,Null (entire row)
21973,,Null (entire row)
22033,,Null (entire row)
22162,,Null (entire row)
